pays,code,annee,cereale,tonnes
France,FRA,1961,Blé,9573520
France,FRA,1962,Blé,14053770
France,FRA,1963,Blé,10248960
France,FRA,1964,Blé,13837700
France,FRA,1965,Blé,14760000
France,FRA,1966,Blé,11296620
France,FRA,1967,Blé,14287540
France,FRA,1968,Blé,14984900
France,FRA,1969,Blé,14446000
France,FRA,1970,Blé,12649000
France,FRA,1971,Blé,15241000
France,FRA,1972,Blé,17996000
France,FRA,1973,Blé,17851008
France,FRA,1974,Blé,19007008
France,FRA,1975,Blé,15013000
France,FRA,1976,Blé,16126000
France,FRA,1977,Blé,17450000
France,FRA,1978,Blé,20967712
France,FRA,1979,Blé,19544000
France,FRA,1980,Blé,23781008
France,FRA,1981,Blé,23762000
France,FRA,1982,Blé,25358000
France,FRA,1983,Blé,24745008
France,FRA,1984,Blé,32977008
France,FRA,1985,Blé,28784000
France,FRA,1986,Blé,26474784
France,FRA,1987,Blé,27414576
France,FRA,1988,Blé,29038496
France,FRA,1989,Blé,31822304
France,FRA,1990,Blé,33345808
France,FRA,1991,Blé,34362204
France,FRA,1992,Blé,32490755
France,FRA,1993,Blé,29200263
France,FRA,1994,Blé,30493197
France,FRA,1995,Blé,30869729
France,FRA,1996,Blé,35935157
France,FRA,1997,Blé,33862198
France,FRA,1998,Blé,39801138
France,FRA,1999,Blé,36950991
France,FRA,2000,Blé,37355957
France,FRA,2001,Blé,31545319
France,FRA,2002,Blé,38936515
France,FRA,2003,Blé,30479362
France,FRA,2004,Blé,39690180
France,FRA,2005,Blé,36886103
France,FRA,2006,Blé,35363563
France,FRA,2007,Blé,32763446
France,FRA,2008,Blé,39006372
France,FRA,2009,Blé,38336865
France,FRA,2010,Blé,38207431
France,FRA,2011,Blé,35992794
France,FRA,2012,Blé,37885742
France,FRA,2013,Blé,38651472
France,FRA,2014,Blé,38950202
France,FRA,2015,Blé,42750027
France,FRA,2016,Blé,29316331
France,FRA,2017,Blé,38677896
France,FRA,2018,Blé,35798234
France,FRA,1961,Maïs,2480000
France,FRA,1962,Maïs,1866560
France,FRA,1963,Maïs,3877070
France,FRA,1964,Maïs,2108800
France,FRA,1965,Maïs,3467800
France,FRA,1966,Maïs,4340200
France,FRA,1967,Maïs,4152190
France,FRA,1968,Maïs,5389580
France,FRA,1969,Maïs,5730000
France,FRA,1970,Maïs,7491000
France,FRA,1971,Maïs,8962000
France,FRA,1972,Maïs,8257000
France,FRA,1973,Maïs,10698000
France,FRA,1974,Maïs,8698000
France,FRA,1975,Maïs,8209000
France,FRA,1976,Maïs,5625000
France,FRA,1977,Maïs,8506780
France,FRA,1978,Maïs,9531000
France,FRA,1979,Maïs,10413000
France,FRA,1980,Maïs,9323400
France,FRA,1981,Maïs,9145800
France,FRA,1982,Maïs,10400200
France,FRA,1983,Maïs,10525000
France,FRA,1984,Maïs,10493000
France,FRA,1985,Maïs,12409000
France,FRA,1986,Maïs,11641000
France,FRA,1987,Maïs,12470000
France,FRA,1988,Maïs,14698600
France,FRA,1989,Maïs,13347900
France,FRA,1990,Maïs,9400500
France,FRA,1991,Maïs,12796831
France,FRA,1992,Maïs,14822657
France,FRA,1993,Maïs,14726035
France,FRA,1994,Maïs,12816279
France,FRA,1995,Maïs,12583866
France,FRA,1996,Maïs,14318928
France,FRA,1997,Maïs,16534988
France,FRA,1998,Maïs,14885495
France,FRA,1999,Maïs,15354735
France,FRA,2000,Maïs,16018168
France,FRA,2001,Maïs,16420735
France,FRA,2002,Maïs,16418383
France,FRA,2003,Maïs,12045464
France,FRA,2004,Maïs,16375868
France,FRA,2005,Maïs,13689322
France,FRA,2006,Maïs,12903719
France,FRA,2007,Maïs,14505519
France,FRA,2008,Maïs,16037988
France,FRA,2009,Maïs,15513841
France,FRA,2010,Maïs,13975285
France,FRA,2011,Maïs,15914121
France,FRA,2012,Maïs,15393497
France,FRA,2013,Maïs,15041226
France,FRA,2014,Maïs,18343320
France,FRA,2015,Maïs,13716048
France,FRA,2016,Maïs,11839729
France,FRA,2017,Maïs,14534897
France,FRA,2018,Maïs,12667393
France,FRA,1961,Riz,133690
France,FRA,1962,Riz,130230
France,FRA,1963,Riz,117390
France,FRA,1964,Riz,121900
France,FRA,1965,Riz,97830
France,FRA,1966,Riz,102340
France,FRA,1967,Riz,116990
France,FRA,1968,Riz,84810
France,FRA,1969,Riz,95390
France,FRA,1970,Riz,90680
France,FRA,1971,Riz,76510
France,FRA,1972,Riz,41450
France,FRA,1973,Riz,69330
France,FRA,1974,Riz,49250
France,FRA,1975,Riz,42400
France,FRA,1976,Riz,30400
France,FRA,1977,Riz,24110
France,FRA,1978,Riz,36790
France,FRA,1979,Riz,30000
France,FRA,1980,Riz,25300
France,FRA,1981,Riz,20100
France,FRA,1982,Riz,27100
France,FRA,1983,Riz,38000
France,FRA,1984,Riz,35600
France,FRA,1985,Riz,61560
France,FRA,1986,Riz,60020
France,FRA,1987,Riz,59500
France,FRA,1988,Riz,74896
France,FRA,1989,Riz,105825
France,FRA,1990,Riz,121300
France,FRA,1991,Riz,115042
France,FRA,1992,Riz,127737
France,FRA,1993,Riz,131042
France,FRA,1994,Riz,128509
France,FRA,1995,Riz,127305
France,FRA,1996,Riz,120279
France,FRA,1997,Riz,127088
France,FRA,1998,Riz,113823
France,FRA,1999,Riz,110256
France,FRA,2000,Riz,115958
France,FRA,2001,Riz,102810
France,FRA,2002,Riz,105227
France,FRA,2003,Riz,106723
France,FRA,2004,Riz,115110
France,FRA,2005,Riz,102306
France,FRA,2006,Riz,94782
France,FRA,2007,Riz,97316
France,FRA,2008,Riz,111523
France,FRA,2009,Riz,137132
France,FRA,2010,Riz,120170
France,FRA,2011,Riz,130400
France,FRA,2012,Riz,124091
France,FRA,2013,Riz,80801
France,FRA,2014,Riz,83492
France,FRA,2015,Riz,80858
France,FRA,2016,Riz,80297
France,FRA,2017,Riz,92544
France,FRA,2018,Riz,73306
France,FRA,1961,Orge,5412790
France,FRA,1962,Orge,6003010
France,FRA,1963,Orge,7384040
France,FRA,1964,Orge,6790980
France,FRA,1965,Orge,7377700
France,FRA,1966,Orge,7421160
France,FRA,1967,Orge,9874340
France,FRA,1968,Orge,9139410
France,FRA,1969,Orge,9452070
France,FRA,1970,Orge,8154000
France,FRA,1971,Orge,8989000
France,FRA,1972,Orge,10466000
France,FRA,1973,Orge,10948470
France,FRA,1974,Orge,10035000
France,FRA,1975,Orge,9343510
France,FRA,1976,Orge,8530000
France,FRA,1977,Orge,10261390
France,FRA,1978,Orge,11321000
France,FRA,1979,Orge,11196000
France,FRA,1980,Orge,11692000
France,FRA,1981,Orge,10102000
France,FRA,1982,Orge,10036000
France,FRA,1983,Orge,8772690
France,FRA,1984,Orge,11508882
France,FRA,1985,Orge,11442120
France,FRA,1986,Orge,10062990
France,FRA,1987,Orge,10489020
France,FRA,1988,Orge,9883200
France,FRA,1989,Orge,9840353
France,FRA,1990,Orge,9995700
France,FRA,1991,Orge,10603446
France,FRA,1992,Orge,10434732
France,FRA,1993,Orge,8909135
France,FRA,1994,Orge,7566309
France,FRA,1995,Orge,7590270
France,FRA,1996,Orge,9403955
France,FRA,1997,Orge,10004032
France,FRA,1998,Orge,10430957
France,FRA,1999,Orge,9376404
France,FRA,2000,Orge,9709332
France,FRA,2001,Orge,9797468
France,FRA,2002,Orge,10974840
France,FRA,2003,Orge,9848186
France,FRA,2004,Orge,11033331
France,FRA,2005,Orge,10313589
France,FRA,2006,Orge,10400576
France,FRA,2007,Orge,9473584
France,FRA,2008,Orge,12170629
France,FRA,2009,Orge,12879004
France,FRA,2010,Orge,10101597
France,FRA,2011,Orge,8775155
France,FRA,2012,Orge,11341189
France,FRA,2013,Orge,10315285
France,FRA,2014,Orge,11728556
France,FRA,2015,Orge,13098234
France,FRA,2016,Orge,10439229
France,FRA,2017,Orge,12086796
France,FRA,2018,Orge,11193034
France,FRA,1961,Seigle,346810
France,FRA,1962,Seigle,355650
France,FRA,1963,Seigle,354460
France,FRA,1964,Seigle,388690
France,FRA,1965,Seigle,387410
France,FRA,1966,Seigle,356500
France,FRA,1967,Seigle,344400
France,FRA,1968,Seigle,326950
France,FRA,1969,Seigle,309010
France,FRA,1970,Seigle,287000
France,FRA,1971,Seigle,293730
France,FRA,1972,Seigle,328390
France,FRA,1973,Seigle,327200
France,FRA,1974,Seigle,330000
France,FRA,1975,Seigle,308000
France,FRA,1976,Seigle,297220
France,FRA,1977,Seigle,375000
France,FRA,1978,Seigle,455000
France,FRA,1979,Seigle,355000
France,FRA,1980,Seigle,408500
France,FRA,1981,Seigle,341600
France,FRA,1982,Seigle,322300
France,FRA,1983,Seigle,293000
France,FRA,1984,Seigle,349000
France,FRA,1985,Seigle,296800
France,FRA,1986,Seigle,229000
France,FRA,1987,Seigle,299000
France,FRA,1988,Seigle,268000
France,FRA,1989,Seigle,260808
France,FRA,1990,Seigle,235300
France,FRA,1991,Seigle,213147
France,FRA,1992,Seigle,197444
France,FRA,1993,Seigle,165732
France,FRA,1994,Seigle,162626
France,FRA,1995,Seigle,176635
France,FRA,1996,Seigle,202295
France,FRA,1997,Seigle,178924
France,FRA,1998,Seigle,192857
France,FRA,1999,Seigle,164363
France,FRA,2000,Seigle,145671
France,FRA,2001,Seigle,115961
France,FRA,2002,Seigle,138245
France,FRA,2003,Seigle,112338
France,FRA,2004,Seigle,170359
France,FRA,2005,Seigle,146808
France,FRA,2006,Seigle,121464
France,FRA,2007,Seigle,119823
France,FRA,2008,Seigle,123458
France,FRA,2009,Seigle,129784
France,FRA,2010,Seigle,151038
France,FRA,2011,Seigle,124422
France,FRA,2012,Seigle,160301
France,FRA,2013,Seigle,143076
France,FRA,2014,Seigle,128197
France,FRA,2015,Seigle,123587
France,FRA,2016,Seigle,97001
France,FRA,2017,Seigle,109715
France,FRA,2018,Seigle,110092
